ticker_observado,emissor_id,setor,subsetor,segmento,fonte,data_fonte,evidencia,estabilidade_documentada,validade_inicio,validade_fim,confianca,status_revisao
CVCB3,CVCB,Consumo Cíclico,Viagens e Lazer,Viagens e Turismo,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=CVCB; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
CXSE3,CXSE,Financeiro,Previdência e Seguros,Seguradoras,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=CXSE; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2021-04-29,2026-07-27,alta,confirmado
CYRE3,CYRE,Consumo Cíclico,Construção Civil,Incorporações,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=CYRE; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
DIRR3,DIRR,Consumo Cíclico,Construção Civil,Incorporações,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=DIRR; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
DTEX3,DTEX,Materiais Básicos,Madeira e Papel,Madeira,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/21091/CODBOLSA/overview?language=pt-br,2026-08-07,documento indicado registra DTEX3 em Materiais Básicos / Madeira e Papel / Madeira; identidade e atividade reconciliadas com FCA/CVM,sim,2015-01-02,2021-08-18,alta,confirmado
DXCO3,DXCO,Materiais Básicos,Madeira e Papel,Madeira,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=DXCO; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2021-08-19,2026-07-27,alta,confirmado
ECOR3,ECOR,Bens Industriais,Transporte,Exploração de Rodovias,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=ECOR; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
EGIE3,EGIE,Utilidade Pública,Energia Elétrica,Energia Elétrica,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=EGIE; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2016-07-21,2026-07-27,alta,confirmado
ELET3,ELET,Utilidade Pública,Energia Elétrica,Energia Elétrica,B3 classificação setorial 15/09/2022 + CVM/FCA,2022-09-15,B3 código=ELET; snapshot sha256=6127B9F03E2D; atividade histórica FCA revisada,sim,2015-01-02,2025-11-07,alta,confirmado
ELET6,ELET,Utilidade Pública,Energia Elétrica,Energia Elétrica,B3 classificação setorial 15/09/2022 + CVM/FCA,2022-09-15,B3 código=ELET; snapshot sha256=6127B9F03E2D; atividade histórica FCA revisada,sim,2015-01-02,2025-11-07,alta,confirmado
ELPL4,ELPL,Utilidade Pública,Energia Elétrica,Energia Elétrica,https://www.fundamentus.com.br/detalhes.php?papel=ELPL4,2026-08-07,documento indicado registra ELPL4 em Utilidade Pública / Energia Elétrica / Energia Elétrica; identidade e atividade reconciliadas com FCA/CVM,sim,2015-01-02,2017-11-24,media,confirmado
EMBR3,EMBR,Bens Industriais,Material de Transporte,Material Aeronáutico e de Defesa,B3 classificação setorial 15/09/2022 + CVM/FCA,2022-09-15,B3 código=EMBR; snapshot sha256=6127B9F03E2D; atividade histórica FCA revisada,sim,2015-01-02,2025-10-31,alta,confirmado
ENAT3,ENAT,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",B3 classificação setorial 15/09/2022 + CVM/FCA,2022-09-15,B3 código=ENAT; snapshot sha256=6127B9F03E2D; atividade histórica FCA revisada,sim,2019-04-24,2024-07-31,alta,confirmado
ENBR3,ENBR,Utilidade Pública,Energia Elétrica,Energia Elétrica,B3 classificação setorial 15/09/2022 + CVM/FCA,2022-09-15,B3 código=ENBR; snapshot sha256=6127B9F03E2D; atividade histórica FCA revisada,sim,2015-01-02,2023-08-21,alta,confirmado
ENEV3,ENEV,Utilidade Pública,Energia Elétrica,Energia Elétrica,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=ENEV; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2016-07-01,2026-07-27,alta,confirmado
ENGI11,ENGI,Utilidade Pública,Energia Elétrica,Energia Elétrica,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=ENGI; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-05,2026-07-27,alta,confirmado
